x-g,y-g,z-g,label
1.470953232676,2.10613503528,-0.6938818090179999,walking
1.3863808888600002,2.049467750484,-0.5276690439779999,walking
1.24717507978,1.979130868348,-0.4835837978499999,walking
1.09573035834,1.9104604894399997,-0.4500131757019999,walking
0.9794900266600002,1.792488376208,-0.4323211646699998,walking
0.9330707006600001,1.6187865675479998,-0.4226166577979999,walking
0.8993173676600001,1.4631743133479997,-0.4131805615119999,walking
0.8629472302200001,1.3345063095400003,-0.4038950704975999,walking
0.82007567894,1.2293797806439999,-0.3963397398979999,walking
0.7926928289,1.112129400928,-0.39278456261599987,walking
0.8008683532200002,0.9497817156080001,-0.3799020531039999,walking
0.8490584265840002,0.749568701328,-0.36066684199599985,walking
0.9180619915400001,0.534771725528,-0.3275450725879999,walking
0.9628163345640002,0.35112228276799995,-0.2680936243879999,walking
0.9731334776080002,0.211303779048,-0.17918175194399985,walking
0.9610903826792001,0.113183313788,-0.07147471814399985,walking
0.9262457838032002,0.0439124492324,0.05653978917600016,walking
0.8614554534952003,0.0074442306124,0.19302741482800015,walking
0.7666552478031999,-0.005149923467600006,0.3320768226040002,walking
0.6656237813272001,-0.0271648774916,0.46445273445600016,walking
0.5796837211832002,-0.0776378559044,0.5744072391400001,walking
0.5008726916152001,-0.15382338043240001,0.5484945852320001,walking
0.33064878927120006,-0.2660993934724,0.6144440617280001,walking
0.11008863980320015,-0.39887340571240004,0.880480819816,walking
-0.10759033504479987,-0.5668479133924,1.2206071328920003,walking
-0.25548266832079985,-0.7815541638324001,1.526203579328,walking
-0.2506100490327998,-1.0099422907564,1.423360739008,walking
-0.21827353143279984,-1.1221693976604,0.8495520897600002,walking
-0.39076253399279987,-1.0586623440724001,0.211838282132,walking
-0.5519307657527999,-0.9814566675604002,-0.07965079466799992,walking
-0.6200898290167999,-0.9808639236124002,0.023056437056000075,walking
-0.7336693618167999,-0.9772800949724001,0.12114951395800007,walking
-0.8408424278567997,-1.0001508241083998,0.11472113477160008,walking
-0.9499926830968,-1.0050733143004,0.09068696759600009,walking
-1.0552958095728,-0.9897750101004,0.05271033104400008,walking
-1.1719845876167998,-0.9448698674004001,0.012180668576000078,walking
-1.3085016247367998,-0.8742982078564,-0.01640954671199992,walking
-1.4508913596968,-0.8018508550964001,-0.043735836631999925,walking
-1.5758561464167997,-0.7529138232964001,-0.08596180705999994,walking
-1.6747013272848,-0.7321316962083999,-0.1454881917239999,walking
-1.7513281294599998,-0.7381268230284,-0.21133051800759994,walking
-1.7917163214719998,-0.7594125123327999,-0.29604115429839994,walking
-1.782952315872,-0.7962981987768001,-0.3997905944647999,walking
-1.735265687772,-0.8454233003968001,-0.5136584768687998,walking
-1.6726936390559999,-0.8787741578696001,-0.6196671401088,walking
-1.6107044641959996,-0.8830564247248001,-0.7013172384847999,walking
-1.541141028376,-0.8692250232088,-0.6526582125608,walking
-1.3620468823439997,-0.8297787942408001,-0.6952814150447999,walking
-1.105578940624,-0.7825620834407999,-0.9278965175728,walking
-0.8326192780239999,-0.6950488416128,-1.2251382283888,walking
-0.6295615114639999,-0.5436282458008,-1.4813169083488,walking
-0.5998974170159999,-0.3555483677528,-1.3254899677807999,walking
-0.6284925001359999,-0.26079414455280003,-0.7012283610007998,walking
-0.47912628847199984,-0.3191158405224,-0.01930076497679998,walking
-0.36252021344399993,-0.3700119000384,0.30993022067520004,walking
-0.3507536976639999,-0.3346487583824,0.23969575835519996,walking
-0.29645692090599984,-0.30289383995040003,0.17123220716319998,walking
-0.2484102797211999,-0.2468767889464,0.2060348347272,walking
-0.20056866531319986,-0.20147605962240003,0.2517136605472,walking
-0.1635956448559999,-0.1553013460584,0.3052951591232,walking
-0.1287382990483999,-0.10571859454640002,0.35812671574320004,walking
-0.08654015990839989,-0.042056075170400026,0.39836018750319996,walking
-0.04505648036839989,0.054345168349599966,0.4286188268392,walking
-0.01593133549639989,0.19727485858959995,0.45653811067519995,walking
