Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
37.02375517,5.416826667,-1.754505004,6.233551716,8.442598293,jumping
37.03374617,4.788569657,-3.681110521,4.87396678,7.761219376,jumping
37.04373817,3.018609878,-3.456227776,1.766785326,4.917219379,jumping
37.05372917,2.281167226,-1.533728174,0.1209560877,2.751486216,jumping
37.06372117,2.56486302,1.285410959,0.4542479646,2.904676377,jumping
37.07371217,1.955746871,3.317547609,0.8945108512,3.953633471,jumping
37.08370317,0.8075981301,1.001637982,-0.5579696766,1.402434863,jumping
37.09369517,-0.3391326606,-5.340148619,-1.87527515,5.669996043,jumping
37.10368617,0.6804182661,-13.96916893,-2.119448151,14.14541304,jumping
37.11367717,5.652402799,-21.53168401,-1.881473199,22.34061358,jumping
37.12366917,7.454079046,-15.98452407,-0.3015283397,17.63970588,jumping
37.13366017,3.986854411,-2.122507122,1.257355725,4.688388635,jumping
37.14365217,-2.053602948,0.4586567652,1.02305107,2.339718912,jumping
37.15364317,-6.593758911,-0.5436606628,-1.663318553,6.82201232,jumping
37.16363417,-8.449815432,-1.067043766,-3.282540621,9.127597503,jumping
37.17362617,-10.9832754,0.5751835871,-3.381960244,11.50655594,jumping
37.18361717,-12.15566903,2.05209846,-1.903440018,12.4737517,jumping
37.19360917,-10.70300665,1.428998694,0.6141658044,10.81543288,jumping
37.20360017,-7.754247031,-0.9528686947,1.807216191,8.018873744,jumping
37.21359117,-4.096473917,-4.240756302,-0.480030385,5.915702979,jumping
37.22358317,-0.925183298,-6.835493331,-1.815547889,7.132751737,jumping
37.23357417,1.862054011,-7.992532763,-1.209915218,8.295282993,jumping
37.24356517,2.989029983,-6.949960179,-0.2435371166,7.569382871,jumping
37.25355717,1.638915491,-4.174125525,0.6203097662,4.52704673,jumping
37.26354817,-0.4526873428,-1.705518785,0.490954738,1.831599495,jumping
37.27354017,-1.803670732,-0.9293400836,-0.429123356,2.073896804,jumping
